FileName,SlowdownSpeed,Iteration,Benchmark,IsSlowdown,Method1,Percent1,Method2,Percent2,Method3,Percent3,Method4,Percent4,Method5,Percent5
100_1_List_NoSlowdown.xml,100,1,List,NoSlowdown,"List.isShorterThan",78.8,"List.tail",20.5,"List.makeList",0.5,"List$Element.length",0.1,"List.benchmark",0.1
100_1_List_Slowdown.xml,100,1,List,Slowdown,"List.isShorterThan",82.1,"List.tail",17.5,"List.makeList",0.3,"List.benchmark",0.0,"List$Element.length",0.0
100_1_Mandelbrot_NoSlowdown.xml,100,1,Mandelbrot,NoSlowdown,"Mandelbrot.mandelbrot",99.9,"Run.printResult",0.0,"Run.reportBenchmark",0.0,"java.io.PrintStream.println",0.0,"",0
100_1_Mandelbrot_Slowdown.xml,100,1,Mandelbrot,Slowdown,"Mandelbrot.mandelbrot",100.0,"Run.reportBenchmark",0.0,"java.lang.ClassLoader.loadClass",0.0,"",0,"",0
100_1_NBody_NoSlowdown.xml,100,1,NBody,NoSlowdown,"nbody.Body.setVZ",83.9,"nbody.Body.setZ",14.7,"NBody.innerBenchmarkLoop",1.1,"nbody.NBodySystem.advance",0.2,"Run.printResult",0.0
100_1_NBody_Slowdown.xml,100,1,NBody,Slowdown,"NBody.innerBenchmarkLoop",51.8,"nbody.Body.setVZ",41.4,"nbody.Body.setZ",6.6,"nbody.NBodySystem.advance",0.1,"Run.printResult",0.0
100_1_Permute_NoSlowdown.xml,100,1,Permute,NoSlowdown,"Permute.permute",99.9,"java.io.PrintStream.println",0.0,"Run.printResult",0.0,"Run.reportBenchmark",0.0,"Run.runBenchmark",0.0
100_1_Permute_Slowdown.xml,100,1,Permute,Slowdown,"Permute.permute",100.0,"Permute.benchmark",0.0,"Run.doRuns",0.0,"Run.printResult",0.0,"",0
100_1_Queens_NoSlowdown.xml,100,1,Queens,NoSlowdown,"Queens.placeQueen",97.6,"Queens.queens",2.2,"Queens.benchmark",0.0,"Run.printResult",0.0,"Run.printTotal",0.0
100_1_Queens_Slowdown.xml,100,1,Queens,Slowdown,"Queens.placeQueen",98.7,"Queens.queens",1.1,"Queens.benchmark",0.1,"Benchmark.innerBenchmarkLoop",0.0,"java.util.Arrays.fill",0.0
100_1_Richards_NoSlowdown.xml,100,1,Richards,NoSlowdown,"richards.Scheduler.schedule",25.9,"richards.TaskControlBlock.runTask",16.9,"richards.Scheduler$HandlerProcessFunction.apply",13.2,"richards.TaskState.isTaskHoldingOrWaiting",12.9,"richards.Scheduler$DeviceProcessFunction.apply",8.5
100_1_Richards_Slowdown.xml,100,1,Richards,Slowdown,"richards.Scheduler.schedule",27.8,"richards.TaskControlBlock.runTask",16.8,"richards.Scheduler$HandlerProcessFunction.apply",12.6,"richards.TaskState.isTaskHoldingOrWaiting",12.3,"richards.Scheduler$DeviceProcessFunction.apply",7.9
100_1_Sieve_NoSlowdown.xml,100,1,Sieve,NoSlowdown,"Sieve.sieve",99.7,"Benchmark.innerBenchmarkLoop",0.1,"Run.printResult",0.1,"java.io.PrintStream.println",0.0,"Run.measure",0.0
100_1_Sieve_Slowdown.xml,100,1,Sieve,Slowdown,"Sieve.sieve",99.9,"Benchmark.innerBenchmarkLoop",0.0,"java.io.PrintStream.println",0.0,"Run.printResult",0.0,"Run.reportBenchmark",0.0
100_1_Storage_NoSlowdown.xml,100,1,Storage,NoSlowdown,"Storage.buildTreeDepth",62.1,"Storage.lambda$buildTreeDepth$0",26.2,"som.Arrays.setAll",11.3,"som.Random.next",0.4,"Run.measure",0.0
100_1_Storage_Slowdown.xml,100,1,Storage,Slowdown,"Storage.buildTreeDepth",64.2,"Storage.lambda$buildTreeDepth$0",24.0,"som.Arrays.setAll",11.3,"som.Random.next",0.4,"Benchmark.innerBenchmarkLoop",0.0
100_1_Towers_NoSlowdown.xml,100,1,Towers,NoSlowdown,"Towers.moveDisks",89.7,"Towers.moveTopDisk",10.0,"Towers.benchmark",0.2,"Towers.pushDisk",0.1,"Benchmark.innerBenchmarkLoop",0.0
100_1_Towers_Slowdown.xml,100,1,Towers,Slowdown,"Towers.moveDisks",89.0,"Towers.moveTopDisk",10.8,"Towers.benchmark",0.1,"Run.printResult",0.0,"Run.runBenchmark",0.0
100_2_Bounce_NoSlowdown.xml,100,2,Bounce,NoSlowdown,"Bounce.benchmark",92.6,"java.util.Arrays.setAll",7.3,"Benchmark.innerBenchmarkLoop",0.1,"Run.measure",0.0,"Run.reportBenchmark",0.0
