FileName,SlowdownSpeed,Iteration,Benchmark,IsSlowdown,Method1,Count1,Method2,Count2,Method3,Count3,Method4,Count4,Method5,Count5
100_1_CD_NoSlowdown-2025-02-08-shutdown_Method-list-CPU.txt,100,1,CD,NoSlowdown,"cd.RedBlackTree.treeInsert",18.68,"cd.CollisionDetector.isInVoxel",12.07,"cd.RedBlackTree.put",10.25,"cd.Vector2D.compareTo",9.94,"cd.RedBlackTree.findNode",7.88
100_1_CD_Slowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,1,CD,Slowdown,"cd.RedBlackTree.treeInsert",20.16,"cd.CollisionDetector.isInVoxel",14.94,"cd.RedBlackTree.put",12.97,"cd.RedBlackTree.findNode",7.39,"cd.Vector2D.compareTo",5.65
100_1_DeltaBlue_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,1,DeltaBlue,NoSlowdown,"java.util.Vector$Itr.next",61.40,"deltablue.Plan.execute",6.55,"java.util.Vector.elementData",4.26,"som.Vector.forEach",3.01,"deltablue.EqualityConstraint.execute",2.11
100_1_DeltaBlue_Slowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,1,DeltaBlue,Slowdown,"java.util.Vector$Itr.next",61.26,"deltablue.Plan.execute",4.87,"java.util.Vector.elementData",3.51,"deltablue.ScaleConstraint.execute",3.10,"som.Vector.forEach",2.94
100_1_Havlak_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,1,Havlak,NoSlowdown,"som.Vector.hasSome",36.70,"som.Vector.<init>",16.10,"som.Vector.append",6.26,"havlak.HavlakLoopFinder.findLoops",5.70,"som.Vector.forEach",4.94
100_1_Havlak_Slowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,1,Havlak,Slowdown,"som.Vector.hasSome",37.43,"som.Vector.<init>",20.36,"som.Vector.forEach",5.98,"som.Vector.append",5.57,"havlak.HavlakLoopFinder.findLoops",4.69
100_1_Json_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,1,Json,NoSlowdown,"java.lang.String.equals",36.41,"java.lang.StringLatin1.toBytes",11.24,"json.JsonPureStringParser.read",7.74,"java.lang.String.valueOf",7.59,"json.JsonPureStringParser.readStringInternal",3.14
100_1_Json_Slowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,1,Json,Slowdown,"java.lang.String.equals",36.97,"java.lang.StringLatin1.toBytes",10.10,"json.JsonPureStringParser.read",7.92,"java.lang.String.valueOf",6.93,"json.JsonPureStringParser.subStringFromTo",4.10
100_1_List_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,1,List,NoSlowdown,"List$Element.getNext",44.55,"List.isShorterThan",44.54,"List.tail",10.01,"List.makeList",0.51,"java.lang.Integer.valueOf",0.16
100_1_List_Slowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,1,List,Slowdown,"List.isShorterThan",66.27,"List$Element.getNext",24.86,"List.tail",8.50,"List.makeList",0.22,"java.lang.Integer.valueOf",0.05
100_1_Mandelbrot_NoSlowdown-2025-02-08-shutdown_Method-list-CPU.txt,100,1,Mandelbrot,NoSlowdown,"Mandelbrot.mandelbrot",99.90,"com.yourkit.probes.Table.createRow",0.03,"java.lang.StringCoding.implEncodeAsciiArray",0.01,"com.yourkit.probes.IntColumn.setValue",0.01,"java.lang.String.getChars",0.01
100_1_Mandelbrot_Slowdown-2025-02-08-shutdown_Method-list-CPU.txt,100,1,Mandelbrot,Slowdown,"Mandelbrot.mandelbrot",99.96,"com.yourkit.probes.Table.createRow",0.01,"java.io.PrintStream.println",0.01,"com.yourkit.probes.Table.closeRow",0.01,"java.lang.Long.getChars",0.01
100_1_NBody_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,1,NBody,NoSlowdown,"nbody.NBodySystem.advance",59.40,"nbody.Body.setVX",13.28,"nbody.Body.getVX",4.79,"nbody.Body.setVY",3.62,"nbody.Body.getX",3.21
100_1_NBody_Slowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,1,NBody,Slowdown,"nbody.NBodySystem.advance",60.95,"nbody.Body.setVX",8.45,"nbody.Body.getVX",3.62,"nbody.Body.getZ",3.55,"nbody.Body.setVY",3.50
100_1_Permute_NoSlowdown-2025-02-08-shutdown_Method-list-CPU.txt,100,1,Permute,NoSlowdown,"Permute.permute",73.22,"Permute.swap",26.64,"java.lang.ClassLoader.defineClass0",0.04,"java.io.BufferedWriter.implWrite",0.02,"java.lang.Integer.getChars",0.02
