------------------------------------------------------------------------------------------------------------
  Benchmark    Executor   Suite                     Extra   Core   Size   Var   #Samples   Mean (ms)  
------------------------------------------------------------------------------------------------------------
  Json         Runner     NoSlowdown-50               100      1            2                    500    68  
  Json         Runner     NoSlowdown-50               100      1            3                    500    68  
  Richards     Runner     NoSlowdown-50               100      1            3                    500    83  
  Richards     Runner     NoSlowdown-50               100      1            4                    500    82  
  Json         Runner     NoSlowdown-50               100      1            4                    500    68  
  Richards     Runner     NoSlowdown-50               100      1            5                    500    83  
  Json         Runner     NoSlowdown-50               100      1            5                    500    68  
  Richards     Runner     NoSlowdown-50               100      1            6                    500    82  
  Json         Runner     NoSlowdown-50               100      1            6                    500    68  
  Json         Runner     NoSlowdown-50               100      1            7                    500    68  
  Richards     Runner     NoSlowdown-50               100      1            7                    500    82  
  Json         Runner     NoSlowdown-50               100      1            8                    500    68  
  Richards     Runner     NoSlowdown-50               100      1            8                    500    82  
  Json         Runner     NoSlowdown-50               100      1            9                    500    68  
  Richards     Runner     NoSlowdown-50               100      1            9                    500    83  
  CD           Runner     NoSlowdown-50              1000      1            1                    500   111  
  CD           Runner     NoSlowdown-50              1000      1           10                    500   111  
  CD           Runner     NoSlowdown-50              1000      1            2                    500   111  
  CD           Runner     NoSlowdown-50              1000      1            3                    500   111  
  CD           Runner     NoSlowdown-50              1000      1            4                    500   111  
  CD           Runner     NoSlowdown-50              1000      1            5                    500   111  
  CD           Runner     NoSlowdown-50              1000      1            6                    500   111  
  CD           Runner     NoSlowdown-50              1000      1            7                    500   111  
  CD           Runner     NoSlowdown-50              1000      1            8                    500   111  
  CD           Runner     NoSlowdown-50              1000      1            9                    500   111  
  Bounce       Runner     NoSlowdown-50             10000      1            1                    500   115  
  List         Runner     NoSlowdown-50             10000      1            1                    500   177  
  Sieve        Runner     NoSlowdown-50             10000      1            1                    500   181  
  Bounce       Runner     NoSlowdown-50             10000      1           10                    500   114  
  List         Runner     NoSlowdown-50             10000      1           10                    500   178  
  Sieve        Runner     NoSlowdown-50             10000      1           10                    500   181  
  Sieve        Runner     NoSlowdown-50             10000      1            2                    500   181  
  List         Runner     NoSlowdown-50             10000      1            2                    500   179  
  Bounce       Runner     NoSlowdown-50             10000      1            2                    500   115  
  List         Runner     NoSlowdown-50             10000      1            3                    500   178  
  Sieve        Runner     NoSlowdown-50             10000      1            3                    500   181  
  Bounce       Runner     NoSlowdown-50             10000      1            3                    500   114  
  Sieve        Runner     NoSlowdown-50             10000      1            4                    500   181  
  Bounce       Runner     NoSlowdown-50             10000      1            4                    500   115  
  List         Runner     NoSlowdown-50             10000      1            4                    500   178  
  Bounce       Runner     NoSlowdown-50             10000      1            5                    500   115  
  List         Runner     NoSlowdown-50             10000      1            5                    500   178  
  Sieve        Runner     NoSlowdown-50             10000      1            5                    500   181  
  Sieve        Runner     NoSlowdown-50             10000      1            6                    500   181  
