Benchmark,Suite,Var,Mean
DeltaBlue,Slowdown-100,3,398
DeltaBlue,Slowdown-100,4,399
DeltaBlue,Slowdown-100,5,396
DeltaBlue,Slowdown-100,6,398
DeltaBlue,Slowdown-100,7,395
DeltaBlue,Slowdown-100,8,396
DeltaBlue,Slowdown-100,9,396
Mandelbrot,Slowdown-100,1,259
Mandelbrot,Slowdown-100,10,259
Mandelbrot,Slowdown-100,2,259
Mandelbrot,Slowdown-100,3,259
Mandelbrot,Slowdown-100,4,259
Mandelbrot,Slowdown-100,5,259
Mandelbrot,Slowdown-100,6,259
Mandelbrot,Slowdown-100,7,259
Mandelbrot,Slowdown-100,8,259
Mandelbrot,Slowdown-100,9,259
Json,Slowdown-150,1,159
Richards,Slowdown-150,1,200
Json,Slowdown-150,10,160
Richards,Slowdown-150,10,201
Json,Slowdown-150,2,160
Richards,Slowdown-150,2,200
Richards,Slowdown-150,3,200
Json,Slowdown-150,3,160
Json,Slowdown-150,4,160
Richards,Slowdown-150,4,200
Json,Slowdown-150,5,160
Richards,Slowdown-150,5,200
Richards,Slowdown-150,6,201
Json,Slowdown-150,6,160
Json,Slowdown-150,7,160
Richards,Slowdown-150,7,200
Json,Slowdown-150,8,160
Richards,Slowdown-150,8,200
Json,Slowdown-150,9,160
Richards,Slowdown-150,9,200
CD,Slowdown-150,1,256
CD,Slowdown-150,10,255
CD,Slowdown-150,2,256
CD,Slowdown-150,3,255
CD,Slowdown-150,4,256
CD,Slowdown-150,5,255
CD,Slowdown-150,6,256
CD,Slowdown-150,7,256
CD,Slowdown-150,8,256
CD,Slowdown-150,9,255
Sieve,Slowdown-150,1,446
Bounce,Slowdown-150,1,276
List,Slowdown-150,1,440
Sieve,Slowdown-150,10,453
List,Slowdown-150,10,440
Bounce,Slowdown-150,10,277
List,Slowdown-150,2,440
Sieve,Slowdown-150,2,446
Bounce,Slowdown-150,2,277
List,Slowdown-150,3,440
Sieve,Slowdown-150,3,446
Bounce,Slowdown-150,3,277
List,Slowdown-150,4,440
Bounce,Slowdown-150,4,277
Sieve,Slowdown-150,4,453
Bounce,Slowdown-150,5,276
Sieve,Slowdown-150,5,446
List,Slowdown-150,5,440
Bounce,Slowdown-150,6,277
Sieve,Slowdown-150,6,453
List,Slowdown-150,6,440
List,Slowdown-150,7,440
Sieve,Slowdown-150,7,446
Bounce,Slowdown-150,7,280
Sieve,Slowdown-150,8,446
Bounce,Slowdown-150,8,276
List,Slowdown-150,8,440
Sieve,Slowdown-150,9,446
Bounce,Slowdown-150,9,277
List,Slowdown-150,9,440
NBody,Slowdown-150,1,270
NBody,Slowdown-150,10,270
NBody,Slowdown-150,2,270
NBody,Slowdown-150,3,270
NBody,Slowdown-150,4,270
NBody,Slowdown-150,5,270
NBody,Slowdown-150,6,270
NBody,Slowdown-150,7,270
NBody,Slowdown-150,8,270
NBody,Slowdown-150,9,270
