Benchmark,Suite,Var,Mean
Towers,Slowdown-50,8,179
Towers,Slowdown-50,9,179
Permute,Slowdown-50,1,142
Permute,Slowdown-50,10,142
Permute,Slowdown-50,2,142
Permute,Slowdown-50,3,142
Permute,Slowdown-50,4,142
Permute,Slowdown-50,5,142
Permute,Slowdown-50,6,142
Permute,Slowdown-50,7,142
Permute,Slowdown-50,8,142
Permute,Slowdown-50,9,142
Queens,Slowdown-50,1,106
Queens,Slowdown-50,10,106
Queens,Slowdown-50,2,106
Queens,Slowdown-50,3,106
Queens,Slowdown-50,4,106
Queens,Slowdown-50,5,106
Queens,Slowdown-50,6,106
Queens,Slowdown-50,7,106
Queens,Slowdown-50,8,106
Queens,Slowdown-50,9,106
DeltaBlue,Slowdown-50,1,311
DeltaBlue,Slowdown-50,10,312
DeltaBlue,Slowdown-50,2,311
DeltaBlue,Slowdown-50,3,309
DeltaBlue,Slowdown-50,4,311
DeltaBlue,Slowdown-50,5,310
DeltaBlue,Slowdown-50,6,312
DeltaBlue,Slowdown-50,7,311
DeltaBlue,Slowdown-50,8,315
DeltaBlue,Slowdown-50,9,315
Mandelbrot,Slowdown-50,1,196
Mandelbrot,Slowdown-50,10,196
Mandelbrot,Slowdown-50,2,196
Mandelbrot,Slowdown-50,3,196
Mandelbrot,Slowdown-50,4,196
Mandelbrot,Slowdown-50,5,196
Mandelbrot,Slowdown-50,6,196
Mandelbrot,Slowdown-50,7,196
Mandelbrot,Slowdown-50,8,196
Mandelbrot,Slowdown-50,9,196
Havlak,Slowdown-100,1,438
Havlak,Slowdown-100,10,438
Havlak,Slowdown-100,2,438
Havlak,Slowdown-100,3,439
Havlak,Slowdown-100,4,440
Havlak,Slowdown-100,5,442
Havlak,Slowdown-100,6,440
Havlak,Slowdown-100,7,439
Havlak,Slowdown-100,8,439
Havlak,Slowdown-100,9,439
Havlak,Slowdown-150,1,504
Havlak,Slowdown-150,10,504
Havlak,Slowdown-150,2,504
Havlak,Slowdown-150,3,506
Havlak,Slowdown-150,4,503
Havlak,Slowdown-150,5,505
Havlak,Slowdown-150,6,504
Havlak,Slowdown-150,7,504
Havlak,Slowdown-150,8,503
Havlak,Slowdown-150,9,505
Havlak,Slowdown-50,1,300
Havlak,Slowdown-50,10,298
Havlak,Slowdown-50,2,298
Havlak,Slowdown-50,3,298
Havlak,Slowdown-50,4,298
Havlak,Slowdown-50,5,297
Havlak,Slowdown-50,6,298
Havlak,Slowdown-50,7,298
Havlak,Slowdown-50,8,298
Havlak,Slowdown-50,9,297
