FileName,TargetBlock,Iteration,Benchmark,IsSlowdown,Method1,Percent1,Method2,Percent2,Method3,Percent3,Method4,Percent4,Method5,Percent5
1_8_Json_Slowdown.xml,1,8,Json,Slowdown,"json.JsonPureStringParser.read",40.5,"json.JsonPureStringParser.endCapture",14.9,"json.JsonPureStringParser.skipWhiteSpace",14.3,"json.JsonPureStringParser.readDigit",11.4,"json.JsonPureStringParser.readChar",6.4
1_8_List_Slowdown.xml,1,8,List,Slowdown,"List.isShorterThan",90.3,"List.tail",8.9,"List.makeList",0.5,"List.benchmark",0.2,"java.io.PrintStream.println",0.0
1_8_Richards_Slowdown.xml,1,8,Richards,Slowdown,"richards.TaskControlBlock.runTask",82.1,"richards.Scheduler.schedule",16.8,"richards.RBObject.append",0.3,"java.io.PrintStream.println",0.1,"richards.Scheduler.start",0.1
1_9_Havlak_Slowdown.xml,1,9,Havlak,Slowdown,"som.Vector.forEach",59.4,"som.Vector.append",12.3,"havlak.HavlakLoopFinder.findLoops",8.3,"havlak.HavlakLoopFinder.doDFS",7.5,"java.util.Arrays.copyOf",4.4
1_9_Json_Slowdown.xml,1,9,Json,Slowdown,"json.JsonPureStringParser.read",40.1,"json.JsonPureStringParser.endCapture",15.6,"json.JsonPureStringParser.skipWhiteSpace",13.7,"json.JsonPureStringParser.readDigit",10.9,"json.JsonPureStringParser.readValue",6.6
1_9_List_Slowdown.xml,1,9,List,Slowdown,"List.isShorterThan",90.8,"List.tail",8.4,"List.makeList",0.4,"List.benchmark",0.2,"List$Element.length",0.1
1_9_Richards_Slowdown.xml,1,9,Richards,Slowdown,"richards.TaskControlBlock.runTask",84.6,"richards.Scheduler.schedule",14.3,"richards.RBObject.append",0.2,"java.io.PrintStream.println",0.1,"Benchmark.innerBenchmarkLoop",0.1
2_10_Havlak_Slowdown.xml,2,10,Havlak,Slowdown,"som.Vector.forEach",55.0,"havlak.HavlakLoopFinder.doDFS",14.3,"som.Vector.append",11.4,"havlak.HavlakLoopFinder.findLoops",7.7,"java.util.Arrays.copyOf",3.7
2_10_Json_Slowdown.xml,2,10,Json,Slowdown,"json.JsonPureStringParser.read",31.2,"json.JsonPureStringParser.skipWhiteSpace",17.4,"json.JsonPureStringParser.endCapture",15.9,"json.JsonPureStringParser.readDigit",13.2,"json.JsonPureStringParser.readValue",8.2
2_10_List_Slowdown.xml,2,10,List,Slowdown,"List.isShorterThan",90.9,"List.tail",8.3,"List.makeList",0.3,"List.benchmark",0.3,"List$Element.length",0.1
2_10_Richards_Slowdown.xml,2,10,Richards,Slowdown,"richards.TaskControlBlock.runTask",81.7,"richards.Scheduler.schedule",17.1,"richards.RBObject.append",0.3,"richards.Scheduler.start",0.1,"Benchmark.innerBenchmarkLoop",0.1
2_1_Havlak_Slowdown.xml,2,1,Havlak,Slowdown,"som.Vector.forEach",55.1,"havlak.HavlakLoopFinder.doDFS",13.6,"som.Vector.append",12.6,"havlak.HavlakLoopFinder.findLoops",7.7,"java.util.Arrays.copyOf",3.6
2_1_Json_Slowdown.xml,2,1,Json,Slowdown,"json.JsonPureStringParser.read",33.1,"json.JsonPureStringParser.skipWhiteSpace",16.1,"json.JsonPureStringParser.endCapture",15.3,"json.JsonPureStringParser.readDigit",12.1,"json.JsonPureStringParser.readValue",8.1
2_1_List_Slowdown.xml,2,1,List,Slowdown,"List.isShorterThan",90.6,"List.tail",8.6,"List.makeList",0.4,"List.benchmark",0.2,"List$Element.length",0.1
2_1_Richards_Slowdown.xml,2,1,Richards,Slowdown,"richards.TaskControlBlock.runTask",81.9,"richards.Scheduler.schedule",17.0,"richards.RBObject.append",0.3,"richards.Scheduler.start",0.1,"java.io.PrintStream.println",0.1
2_2_Havlak_Slowdown.xml,2,2,Havlak,Slowdown,"som.Vector.forEach",55.5,"havlak.HavlakLoopFinder.doDFS",12.9,"som.Vector.append",11.9,"havlak.HavlakLoopFinder.findLoops",8.0,"java.util.Arrays.copyOf",3.6
2_2_Json_Slowdown.xml,2,2,Json,Slowdown,"json.JsonPureStringParser.read",33.6,"json.JsonPureStringParser.skipWhiteSpace",17.6,"json.JsonPureStringParser.endCapture",16.1,"json.JsonPureStringParser.readDigit",10.9,"json.JsonPureStringParser.readChar",7.7
2_2_List_Slowdown.xml,2,2,List,Slowdown,"List.isShorterThan",90.7,"List.tail",8.4,"List.makeList",0.4,"List.benchmark",0.3,"List$Element.length",0.1
2_2_Richards_Slowdown.xml,2,2,Richards,Slowdown,"richards.TaskControlBlock.runTask",82.3,"richards.Scheduler.schedule",16.6,"richards.RBObject.append",0.2,"java.io.PrintStream.println",0.1,"richards.Scheduler.start",0.1
