FileName,TargetBlock,Iteration,Benchmark,IsSlowdown,Method1,Count1,Method2,Count2,Method3,Count3,Method4,Count4,Method5,Count5
100_2_Json_NoSlowdown.txt,100,2,Json,NoSlowdown,"java.lang.String.equals",35.16,"java.lang.StringLatin1.toBytes",9.80,"json.JsonPureStringParser.read",7.56,"java.lang.String.valueOf",7.27,"json.JsonPureStringParser.subStringFromTo",3.56
100_8_Richards_NoSlowdown.txt,100,8,Richards,NoSlowdown,"richards.Scheduler.schedule",19.88,"richards.TaskControlBlock.runTask",17.68,"richards.Scheduler$HandlerProcessFunction.apply",11.45,"richards.TaskState.isTaskHoldingOrWaiting",7.47,"richards.Scheduler$DeviceProcessFunction.apply",6.26
100_1_Havlak_NoSlowdown.txt,100,1,Havlak,NoSlowdown,"som.Vector.hasSome",33.95,"som.Vector.<init>",14.41,"som.Vector.append",6.13,"havlak.HavlakLoopFinder.findLoops",5.66,"som.Vector.forEach",3.19
100_8_Havlak_NoSlowdown.txt,100,8,Havlak,NoSlowdown,"som.Vector.hasSome",33.49,"som.Vector.<init>",13.72,"som.Vector.append",6.31,"havlak.HavlakLoopFinder.findLoops",5.33,"som.Vector.forEach",3.16
100_3_List_NoSlowdown.txt,100,3,List,NoSlowdown,"List$Element.getNext",43.64,"List.isShorterThan",43.11,"List.tail",12.15,"List.makeList",0.51,"/home/hb478/repos/graal-instrumentation/sdk/mxbuild/linux-amd64/GRAALVM_LIBGRAAL_JAVA21/graalvm-libgraal-openjdk-21.0.2+13.1/lib/libjvmcicompiler.so",0.20
100_5_Richards_NoSlowdown.txt,100,5,Richards,NoSlowdown,"richards.Scheduler.schedule",20.28,"richards.TaskControlBlock.runTask",17.91,"richards.Scheduler$HandlerProcessFunction.apply",11.14,"richards.TaskState.isTaskHoldingOrWaiting",7.93,"richards.Scheduler$DeviceProcessFunction.apply",6.55
100_4_Json_NoSlowdown.txt,100,4,Json,NoSlowdown,"java.lang.String.equals",34.39,"java.lang.StringLatin1.toBytes",10.43,"json.JsonPureStringParser.read",7.62,"java.lang.String.valueOf",7.24,"json.JsonPureStringParser.subStringFromTo",3.25
100_9_Richards_NoSlowdown.txt,100,9,Richards,NoSlowdown,"richards.Scheduler.schedule",20.04,"richards.TaskControlBlock.runTask",18.08,"richards.Scheduler$HandlerProcessFunction.apply",11.08,"richards.TaskState.isTaskHoldingOrWaiting",7.82,"richards.Scheduler$DeviceProcessFunction.apply",6.63
100_3_Havlak_NoSlowdown.txt,100,3,Havlak,NoSlowdown,"som.Vector.hasSome",33.77,"som.Vector.<init>",14.18,"som.Vector.append",6.10,"havlak.HavlakLoopFinder.findLoops",5.28,"som.Vector.forEach",3.51
100_6_Havlak_NoSlowdown.txt,100,6,Havlak,NoSlowdown,"som.Vector.hasSome",33.98,"som.Vector.<init>",14.42,"som.Vector.append",6.37,"havlak.HavlakLoopFinder.findLoops",5.28,"som.Vector.forEach",3.00
100_4_Richards_NoSlowdown.txt,100,4,Richards,NoSlowdown,"richards.Scheduler.schedule",19.57,"richards.TaskControlBlock.runTask",18.50,"richards.Scheduler$HandlerProcessFunction.apply",10.60,"richards.TaskState.isTaskHoldingOrWaiting",8.86,"richards.Scheduler$DeviceProcessFunction.apply",6.23
100_1_Richards_NoSlowdown.txt,100,1,Richards,NoSlowdown,"richards.Scheduler.schedule",19.33,"richards.TaskControlBlock.runTask",17.30,"richards.Scheduler$HandlerProcessFunction.apply",10.97,"richards.TaskState.isTaskHoldingOrWaiting",8.36,"richards.Scheduler$DeviceProcessFunction.apply",7.32
100_8_List_NoSlowdown.txt,100,8,List,NoSlowdown,"List$Element.getNext",43.81,"List.isShorterThan",42.69,"List.tail",12.40,"List.makeList",0.48,"java.lang.Integer.valueOf",0.18
100_9_List_NoSlowdown.txt,100,9,List,NoSlowdown,"List$Element.getNext",43.52,"List.isShorterThan",42.63,"List.tail",12.61,"List.makeList",0.50,"java.lang.Integer.valueOf",0.23
100_6_List_NoSlowdown.txt,100,6,List,NoSlowdown,"List$Element.getNext",43.39,"List.isShorterThan",43.09,"List.tail",12.43,"List.makeList",0.43,"java.lang.Integer.valueOf",0.21
